daytime,time,result_flg,time1_diff,time2_diff,time3_diff,time4_diff,time5_diff,time6_diff,time7_diff,time8_diff,time9_diff,time10_diff,time11_diff,time12_diff,over_avg_5,over_avg_12,over_avg_24,over_cross_avg_5,over_cross_avg_12,over_cross_avg_24,under_cross_avg_5,under_cross_avg_12,under_cross_avg_24,trend_avg_5,trend_avg_12,trend_avg_24,trend_5_over_12,trend_5_over_24,trend_12_over_24,trend_5_over_cross_12,trend_5_over_cross_24,trend_12_over_cross_24,trend_5_under_cross_12,trend_5_under_cross_24,trend_12_under_cross_24
20170327.0,234500.0,1.0,0.084,0.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.037,-0.041,0.116,-0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,235000.0,0.0,0.013,0.084,0.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.037,-0.041,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,235500.0,1.0,-0.05,0.013,0.084,0.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.037,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,0.0,0.0,0.054,-0.05,0.013,0.084,0.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,500.0,0.0,-0.04,0.054,-0.05,0.013,0.084,0.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,1000.0,1.0,-0.044,-0.04,0.054,-0.05,0.013,0.084,0.0,-0.03,0.013,0.005,0.009,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,1500.0,0.0,0.042,-0.044,-0.04,0.054,-0.05,0.013,0.084,0.0,-0.03,0.013,0.005,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,2000.0,1.0,-0.018,0.042,-0.044,-0.04,0.054,-0.05,0.013,0.084,0.0,-0.03,0.013,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,2500.0,1.0,0.071,-0.018,0.042,-0.044,-0.04,0.054,-0.05,0.013,0.084,0.0,-0.03,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170328.0,3000.0,1.0,0.069,0.071,-0.018,0.042,-0.044,-0.04,0.054,-0.05,0.013,0.084,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
