daytime,time,mid
20170328.0,223000.0,110.278
20170328.0,223500.0,110.33
20170328.0,224000.0,110.342
20170328.0,224500.0,110.273
20170328.0,225000.0,110.249
20170328.0,225500.0,110.236
20170328.0,230000.0,110.315
20170328.0,230500.0,110.371
20170328.0,231000.0,110.41
20170328.0,231500.0,110.358
20170328.0,232000.0,110.335
20170328.0,232500.0,110.237
20170328.0,233000.0,110.298
20170328.0,233800.0,110.262
20170328.0,234000.0,110.247
20170328.0,234500.0,110.29
20170328.0,235000.0,110.302
20170328.0,235500.0,110.282
20170329.0,0.0,110.253
20170329.0,500.0,110.332
20170329.0,1000.0,110.389
20170329.0,1500.0,110.428
20170329.0,2000.0,110.381
20170329.0,2500.0,110.393
20170329.0,3000.0,110.386
20170329.0,3500.0,110.427
20170329.0,4000.0,110.457
20170329.0,4500.0,110.445
20170329.0,5000.0,110.537
20170329.0,5500.0,110.533
20170329.0,10000.0,110.57
20170329.0,10500.0,110.553
20170329.0,11000.0,110.582
20170329.0,11500.0,110.649
20170329.0,12000.0,110.621
20170329.0,12500.0,110.656
20170329.0,13000.0,110.622
20170329.0,13500.0,110.604
20170329.0,14000.0,110.6
20170329.0,14500.0,110.605
20170329.0,15000.0,110.612
20170329.0,15500.0,110.615
20170329.0,20000.0,110.657
20170329.0,20500.0,110.673
20170329.0,21000.0,110.69
20170329.0,21500.0,110.721
20170329.0,22000.0,110.73
20170329.0,22500.0,110.684
20170329.0,23000.0,110.734
20170329.0,23500.0,110.735
20170329.0,24000.0,110.827
20170329.0,24500.0,110.795
20170329.0,25000.0,110.841
20170329.0,25500.0,110.918
20170329.0,30000.0,110.991
20170329.0,30500.0,111.0
20170329.0,31000.0,111.082
20170329.0,31500.0,111.126
20170329.0,32000.0,111.076
20170329.0,32500.0,111.155
20170329.0,33000.0,111.186
20170329.0,33500.0,111.091
20170329.0,34000.0,111.089
20170329.0,34500.0,111.12
20170329.0,35000.0,111.1
20170329.0,35500.0,111.138
20170329.0,40000.0,111.091
20170329.0,40500.0,111.123
20170329.0,41000.0,111.106
20170329.0,41500.0,111.111
20170329.0,42000.0,111.091
20170329.0,42500.0,111.129
20170329.0,43000.0,111.169
20170329.0,43500.0,111.163
20170329.0,44000.0,111.183
20170329.0,44500.0,111.163
20170329.0,45000.0,111.153
20170329.0,45500.0,111.145
20170329.0,50000.0,111.106
20170329.0,50500.0,111.11
20170329.0,51000.0,111.116
20170329.0,51500.0,111.094
20170329.0,52000.0,111.092
20170329.0,52500.0,111.101
20170329.0,53000.0,111.095
20170329.0,53500.0,111.108
20170329.0,54000.0,111.142
20170329.0,54500.0,111.147
20170329.0,55000.0,111.169
20170329.0,55500.0,111.184
20170329.0,60000.0,111.141
20170329.0,60500.0,111.161
20170329.0,61000.0,111.128
20170329.0,61500.0,111.106
20170329.0,62000.0,111.103
20170329.0,62500.0,111.084
20170329.0,63000.0,111.085
20170329.0,63500.0,111.088
20170329.0,64000.0,111.088
20170329.0,64500.0,111.078
20170329.0,65000.0,111.063
20170329.0,65500.0,111.055
20170329.0,70000.0,111.072
20170329.0,70500.0,111.104
20170329.0,71000.0,111.105
20170329.0,71500.0,111.079
20170329.0,72000.0,111.07
20170329.0,72500.0,111.066
20170329.0,73000.0,111.071
20170329.0,73500.0,111.109
20170329.0,74000.0,111.121
20170329.0,74500.0,111.136
20170329.0,75000.0,111.127
20170329.0,75500.0,111.119
20170329.0,80000.0,111.128
20170329.0,80500.0,111.165
20170329.0,81000.0,111.2
20170329.0,81500.0,111.191
20170329.0,82000.0,111.197
20170329.0,82500.0,111.174
20170329.0,83000.0,111.17
20170329.0,83500.0,111.192
20170329.0,84000.0,111.179
20170329.0,84500.0,111.179
20170329.0,85000.0,111.198
20170329.0,85500.0,111.22
20170329.0,90000.0,111.226
20170329.0,90500.0,111.236
20170329.0,91000.0,111.19
20170329.0,91500.0,111.153
20170329.0,92000.0,111.195
20170329.0,92500.0,111.214
20170329.0,93000.0,111.195
20170329.0,93500.0,111.113
20170329.0,94000.0,111.083
20170329.0,94500.0,111.115
20170329.0,95000.0,111.074
20170329.0,95500.0,111.08
20170329.0,100000.0,111.113
20170329.0,100500.0,111.19
20170329.0,101000.0,111.184
20170329.0,101500.0,111.154
20170329.0,102000.0,111.142
20170329.0,102500.0,111.122
20170329.0,103000.0,111.131
20170329.0,103500.0,111.133
20170329.0,104000.0,111.144
20170329.0,104500.0,111.158
20170329.0,105000.0,111.163
20170329.0,105500.0,111.242
20170329.0,110000.0,111.29
20170329.0,110500.0,111.29
20170329.0,111000.0,111.251
20170329.0,111500.0,111.27
20170329.0,112000.0,111.262
20170329.0,112500.0,111.245
20170329.0,113000.0,111.251
20170329.0,113500.0,111.238
20170329.0,114000.0,111.248
20170329.0,114500.0,111.259
20170329.0,115000.0,111.254
20170329.0,115500.0,111.251
20170329.0,120000.0,111.24
20170329.0,120500.0,111.238
20170329.0,121000.0,111.258
20170329.0,121500.0,111.25
20170329.0,122000.0,111.264
20170329.0,122500.0,111.268
20170329.0,123000.0,111.3
20170329.0,123500.0,111.238
20170329.0,124000.0,111.196
20170329.0,124500.0,111.207
20170329.0,125000.0,111.231
20170329.0,125500.0,111.237
20170329.0,130000.0,111.227
20170329.0,130500.0,111.237
20170329.0,131000.0,111.225
20170329.0,131500.0,111.223
20170329.0,132000.0,111.206
20170329.0,132500.0,111.185
20170329.0,133000.0,111.196
20170329.0,133500.0,111.178
20170329.0,134000.0,111.169
20170329.0,134500.0,111.181
20170329.0,135000.0,111.18
20170329.0,135500.0,111.169
20170329.0,140000.0,111.169
20170329.0,140500.0,111.204
20170329.0,141000.0,111.192
20170329.0,141500.0,111.206
20170329.0,142000.0,111.204
20170329.0,142500.0,111.218
20170329.0,143000.0,111.208
20170329.0,143500.0,111.184
20170329.0,144000.0,111.163
20170329.0,144500.0,111.146
20170329.0,145000.0,111.134
20170329.0,145500.0,111.121
20170329.0,150000.0,111.148
20170329.0,150500.0,111.136
20170329.0,151000.0,111.21
20170329.0,151500.0,111.198
20170329.0,152000.0,111.225
20170329.0,152500.0,111.188
20170329.0,153000.0,111.139
20170329.0,153500.0,111.195
20170329.0,154000.0,111.194
20170329.0,154500.0,111.207
20170329.0,155000.0,111.187
20170329.0,155500.0,111.198
20170329.0,160000.0,111.157
20170329.0,160500.0,111.112
20170329.0,161000.0,111.13
20170329.0,161500.0,111.129
20170329.0,162000.0,111.151
20170329.0,162500.0,111.17
20170329.0,163000.0,111.132
20170329.0,163500.0,111.097
20170329.0,164000.0,111.041
20170329.0,164500.0,111.092
20170329.0,165000.0,111.112
20170329.0,165500.0,111.098
20170329.0,170000.0,111.1
20170329.0,170500.0,111.07
20170329.0,171000.0,111.136
20170329.0,171500.0,111.201
20170329.0,172000.0,111.184
20170329.0,172500.0,111.134
20170329.0,173000.0,111.103
20170329.0,173500.0,111.125
20170329.0,174000.0,111.119
20170329.0,174500.0,111.092
20170329.0,175000.0,110.977
20170329.0,175500.0,110.985
20170329.0,180000.0,110.962
20170329.0,180500.0,111.005
20170329.0,181000.0,111.035
20170329.0,181500.0,111.034
20170329.0,182000.0,111.024
20170329.0,182500.0,110.962
20170329.0,183000.0,110.956
20170329.0,183500.0,111.0
20170329.0,184000.0,110.973
20170329.0,184500.0,110.944
20170329.0,185000.0,110.994
20170329.0,185500.0,111.013
20170329.0,190000.0,111.032
20170329.0,190500.0,111.006
20170329.0,191000.0,110.961
20170329.0,191500.0,110.975
20170329.0,192000.0,110.964
20170329.0,192500.0,110.975
20170329.0,193000.0,111.008
20170329.0,193500.0,111.029
20170329.0,194000.0,111.02
20170329.0,194500.0,111.036
20170329.0,195000.0,111.031
20170329.0,195500.0,111.04
20170329.0,200000.0,111.014
20170329.0,200500.0,110.97
20170329.0,201000.0,110.97
20170329.0,201500.0,110.97
20170329.0,202000.0,110.918
20170329.0,202500.0,110.882
20170329.0,203000.0,110.901
20170329.0,203500.0,110.875
20170329.0,204000.0,110.912
20170329.0,204500.0,110.914
